,,,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max
m,,6,12.9241,17.5183,1373,13.393,6.58424,94
m,,6,11.6107,10.2019,755,12.1099,5.54493,72
m,,6,13.0065,11.3476,945,13.8167,6.62649,66
m,,6,10.2171,9.29436,477,10.1954,4.20865,53
m,,6,12.2466,23.1951,2316,12.2162,5.98973,97
m,,6,16.0749,21.1927,1870,17.1567,9.33911,131
m,,6,16.8805,18.8993,1234,18.1388,10.2152,119
m,,6,13.9123,20.6549,1550,14.4885,7.55985,119
m,,6,17.982,27.585,2486,18.7956,10.6968,163
m,,6,22.4135,83.004,19602,23.5342,16.3333,283
m,,6,18.9251,65.5462,14897,19.6963,12.8681,229
m,,6,23.4867,89.3126,20970,24.646,17.4374,278
m,,6,16.2802,61.3559,12892,16.8476,10.6967,213
m,,6,11.9331,41.2112,7146,11.8629,6.7809,160
m,,6,12.2744,42.8906,7067,12.1495,7.11431,155
m,,6,15.0557,56.9753,10892,15.3374,9.42975,197
m,,6,13.5361,51.6827,8731,13.4966,8.08731,148
m,,6,13.5232,51.9736,9193,13.5264,8.32966,191
m,,6,16.9042,62.2999,12601,17.4186,11.3411,219
m,,6,13.0475,11.3324,829,13.8033,6.75469,75
m,,6,13.7329,13.116,926,14.6297,7.35344,86
m,,6,12.3823,11.617,786,12.9136,6.16469,76
m,,6,13.5767,11.7671,957,14.4694,7.23127,81
m,,6,15.3253,13.5527,1138,16.5519,8.74551,81
m,,6,21.8887,23.8823,2040,23.826,14.8329,162
m,,6,14.4057,27.7247,2875,14.7612,7.885,124
m,,6,12.2449,10.1519,629,12.8377,6.11954,59
m,,6,12.2662,10.8625,738,12.8337,6.04682,75
m,,6,10.5539,11.3242,780,10.5064,4.55386,60
m,,6,9.2367,7.54408,365,9.00309,3.39347,49
m,,6,14.6065,14.4604,1094,15.6087,8.19977,117
m,,6,22.4545,23.2499,2113,24.6148,15.3301,140
m,,6,14.2989,19.7122,1894,15.0523,7.70128,88
m,,6,13.1435,11.7046,778,13.9516,6.8632,93
m,,6,14.8668,15.2789,1201,16.0031,8.33026,97
m,,6,15.6445,27.7168,3471,16.5415,9.21205,133
m,,6,10.8233,25.3261,2170,10.2301,4.79311,93
m,,6,10.9508,27.4439,2577,10.3482,5.08198,99
m,,6,14.1685,18.1042,1588,14.9195,7.81371,89
m,,6,12.2261,13.5848,1029,12.6292,5.94711,75
m,,6,16.1297,17.2076,1383,17.3765,9.69739,106
m,,6,13.7505,13.5519,1015,14.6728,7.3627,103
m,,6,12.4307,11.4572,814,13.0061,6.26698,72
m,,6,12.2621,10.0127,635,12.8942,6.02307,65
m,,6,13.9399,37.9902,3903,13.9535,7.67411,153
m,,6,13.9182,30.7261,3214,14.2273,7.54809,116
m,,6,24.7478,28.2579,2228,27.0535,18.4137,192
m,,6,26.8474,38.4656,4039,29.0938,20.6489,216
m,,6,10.2172,11.9881,948,10.0751,4.34667,69
m,,6,15.2791,19.2088,1518,16.2474,8.89686,117
m,,6,11.1954,9.11127,656,11.5289,5.08197,70
m,,6,11.4166,10.7988,684,11.8093,5.48202,72
m,,6,38.6621,50.2228,4227,42.5081,33.4785,285
m,,6,18.3722,20.5649,1316,19.9417,11.5483,171
m,,7,13.6775,12.7461,808,14.2053,6.28037,79
m,,7,28.3459,33.7475,2420,31.2198,19.8586,211
m,,7,16.6531,15.9469,1112,17.8674,9.05133,98
m,,7,14.2464,12.3637,973,14.9667,6.7985,85
m,,7,13.861,13.3022,883,14.3774,6.52954,78
m,,7,15.3985,18.3247,1546,16.1349,7.97095,108
m,,7,16.5288,16.3621,1140,17.7105,8.85959,92
m,,7,21.4535,22.7593,1743,23.4173,13.2949,160
m,,7,13.5023,12.7556,887,13.9697,6.30861,98
m,,7,17.932,18.1033,1188,19.3386,10.2437,107
m,,7,16.4277,16.73,1181,17.5762,8.78322,121
m,,7,12.6265,11.3341,693,12.8707,5.44261,72
m,,7,14.3451,14.3678,1024,15.0588,7.0065,88
m,,7,12.4749,11.3332,646,12.6662,5.37627,77
m,,7,12.1811,14.2989,917,12.0047,5.01723,81
m,,7,23.9181,30.9601,2738,25.9355,15.3289,203
m,,7,20.2293,20.3495,1464,21.9477,12.1189,106
m,,7,17.5435,15.8927,1176,19.0378,9.84984,103
m,,7,12.9564,16.2456,1390,12.992,5.59743,84
m,,7,20.781,22.9737,1449,21.9615,11.9479,147
m,,7,15.624,15.3342,1041,16.6424,8.03573,102
m,,7,11.9206,9.07192,614,12.0555,4.84939,72
m,,7,18.2428,19.8492,1471,19.6203,10.0974,140
m,,7,14.1098,19.7614,1387,14.2818,6.7493,145
m,,7,20.5437,21.8566,1646,22.2833,12.4776,119
m,,7,15.743,16.0227,1117,16.7189,8.25024,98
m,,7,21.7886,24.417,1542,23.6538,13.3391,136
m,,7,18.9185,22.5562,1567,20.2907,10.7257,146
m,,7,14.7833,14.3334,988,15.5385,7.34534,81
m,,7,10.6096,9.60964,379,10.1933,3.62605,64
m,,7,11.498,9.93428,623,11.5425,4.57852,68
m,,7,14.1314,11.3791,830,14.8774,6.81591,72
m,,7,13.9078,18.5124,1373,14.1855,6.56973,109
m,,7,12.562,10.7463,755,12.8765,5.48631,75
m,,7,13.8846,11.7466,945,14.5601,6.5473,77
m,,7,11.2107,10.0777,477,10.997,4.17658,65
m,,7,13.2951,24.9132,2316,13.0184,6.07669,109
m,,7,17.009,21.92,1870,18.0201,9.22323,131
m,,7,17.8579,19.4339,1234,19.1032,10.0926,132
m,,7,14.8909,21.6954,1550,15.3122,7.48834,119
m,,7,18.9711,28.4765,2486,19.7348,10.5557,131
m,,7,23.5793,85.782,19602,24.726,16.3337,283
m,,7,19.9764,68.0518,14897,20.7208,12.8837,229
m,,7,24.6733,92.1728,20970,25.8958,17.468,303
m,,7,17.255,64.1137,12892,17.7348,10.9277,273
m,,7,13.0488,44.8315,7146,12.7361,7.05397,160
m,,7,13.341,46.3087,7067,13.0106,7.49655,155
m,,7,16.0934,60.0639,10892,16.2889,9.68152,197
m,,7,14.6006,55.1293,8731,14.3706,8.30122,158
m,,7,14.5579,55.3526,9193,14.3815,8.64684,191
m,,7,17.8949,64.9777,12601,18.3571,11.3445,219
m,,7,13.964,11.7399,829,14.6232,6.68329,75
m,,7,14.6674,13.5911,926,15.4484,7.214,86
m,,7,13.3373,12.1714,786,13.6958,6.08166,76
m,,7,14.5135,12.1495,957,15.2789,7.14397,96
m,,7,16.2419,13.8688,1138,17.4308,8.62697,84
m,,7,23.0089,24.3212,2040,25.0715,14.6358,162
m,,7,15.4062,29.1674,2875,15.6051,7.82508,124
m,,7,13.2372,10.5951,629,13.6978,6.02984,59
m,,7,13.2003,11.3516,738,13.6339,6.01753,76
m,,7,11.5931,12.3161,780,11.3236,4.49015,64
m,,7,10.3115,8.43671,365,9.89668,3.38877,49
m,,7,15.559,14.9379,1094,16.4831,8.10258,117
m,,7,23.6128,23.6264,2113,25.8924,15.1444,140
m,,7,15.2285,20.5797,1894,15.8212,7.61589,117
m,,7,14.0604,12.1322,778,14.7427,6.76862,93
m,,7,15.7749,15.7632,1201,16.8185,8.20084,101
m,,7,16.63,28.9178,3471,17.417,9.11563,133
m,,7,12.0225,28.172,2170,11.1048,5.0385,108
m,,7,12.1494,30.4653,2577,11.2042,5.27698,99
m,,7,15.1841,18.9522,1588,15.7998,7.72876,89
m,,7,13.1996,14.3664,1029,13.4003,5.85936,75
m,,7,17.122,17.7221,1383,18.3697,9.58437,106
m,,7,14.6631,14.049,1015,15.4326,7.27648,103
m,,7,13.3812,11.9855,814,13.8005,6.1846,74
m,,7,13.1817,10.4102,635,13.662,5.96309,75
m,,7,14.9956,40.3193,3903,14.7795,7.74145,153
m,,7,14.9364,32.5024,3214,15.0463,7.54023,142
m,,7,26.0846,28.7854,2228,28.5817,18.2823,195
m,,7,28.3414,39.3986,4039,30.7552,20.5067,216
m,,7,11.291,13.2146,948,10.9198,4.35024,69
m,,7,16.2698,19.9549,1518,17.1915,8.82133,117
m,,7,12.1048,9.59137,656,12.266,5.01413,70
m,,7,12.3701,11.4485,684,12.5856,5.42846,72
m,,7,40.6771,51.0692,4227,44.7661,33.3152,285
m,,7,19.4001,21.0779,1316,20.9977,11.3959,171
